2026-06-07 15:39:07 | IP: 223.181.102.85 | Location: Ludhiana, India | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-07 15:42:17 | IP: 223.181.102.85 | Location: Ludhiana, India | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-07 15:49:00 | IP: 223.181.102.85 | Location: Ludhiana, India | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-07 16:04:35 | IP: 223.181.102.85 | Location: Ludhiana, India | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-08 00:45:04 | IP: 54.209.60.63 | Location: Ashburn, United States | Browser: Safari | Device: Desktop | Referrer: Direct visit | Telegram: Failed
2026-06-08 07:37:57 | IP: 104.28.160.176 | Location: Santa Cruz, India | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-08 07:38:19 | IP: 104.28.160.176 | Location: Santa Cruz, India | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-08 07:40:16 | IP: 151.240.49.23 | Location: Manchester, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-08 08:33:17 | IP: 151.240.49.96 | Location: Manchester, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-08 14:54:11 | IP: 151.240.49.66 | Location: Manchester, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-08 14:57:13 | IP: 106.219.70.77 | Location: Jaipur, India | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-08 14:59:30 | IP: 106.219.70.77 | Location: Jaipur, India | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-09 09:16:57 | IP: 172.253.216.49 | Location: Charleston, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-09 09:20:02 | IP: 173.194.92.183 | Location: Chicago, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-09 09:31:11 | IP: 172.253.15.225 | Location: Charleston, United States | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
2026-06-09 09:31:54 | IP: 105.113.128.6 | Location: Ikorodu, Nigeria | Browser: Chrome | Device: Desktop | Referrer: https://bronzebackguideservice.com/zoom/index.php | Telegram: Failed
